ime,tip
Casa Wine & Tapas,"""International"""

ZAK,"""Cafe"""

DEKANTER Wine boutique,"""European"""

DEKANTER Wine boutique,"""Slovenian"""

ALTER,"""European"""

ALTER,"""Slovenian"""

Crnuski Dvor,"""European"""

Gostilna Pri Tincku,"""European"""

Restavracija & Pizzeria Tartuf,

Svetilnik,"""Italian"""

Svetilnik,"""Bar"""

Kurji tat,"""European"""

Kurji tat,"""Slovenian"""

Pub Pod Skalco,"""Fast Food"""

Pizza 8,"""Pizza"""

Istanbul Kavarna,"""Cafe"""

Istanbul Kavarna,"""Turkish"""

Kavarna Mackon,"""Bar"""

Kavarna Mackon,"""Cafe"""

Kraljzara,

Dobro Jutro Vietnam in Ljubljana,"""Asian"""

Dobro Jutro Vietnam in Ljubljana,"""Vietnamese"""

Restavracija Puccini,"""Italian"""

Restavracija Puccini,"""Pizza"""

Cafe METROPOL,"""Italian"""

Cafe METROPOL,"""European"""

Kavarna Pavon,"""Cafe"""

Kavarna Pavon,"""European"""

Bistro Egoistka,"""International"""

Bistro Egoistka,"""European"""

Zlati zob,"""European"""

Bistro Svicarija,"""European"""

Bistro Svicarija,"""Slovenian"""

barjan,"""Pizza"""

Asan Chill & Lounge Room,"""Bar"""

Asan Chill & Lounge Room,"""Pub"""

Bulldog Bar,"""Barbecue"""

Bulldog Bar,"""European"""

