ime,rating,glasovi,cena
Kavarna Rog,4,116,$$ - $$$

Gostilna in pizzerija Jurman,4,122,$$ - $$$

Veganika,5,18,$$ - $$$

Brunch for bunch,5,16,$$ - $$$

diVino restaurant & bar,4,87,$$ - $$$

Restavracija Pen Klub,4.5,38,$$ - $$$

Barbarella Arkade Bistro (Vegan and Vegeterian),4,68,$$ - $$$

Kavarna Tiskarna,4,95,$$ - $$$

Gostilna Mihovec,4.5,32,$$ - $$$

Boschtiz,5,35,$$ - $$$

Maratonec,4.5,28,$$ - $$$

Krtina D'Ampezzo,4.5,52,$$ - $$$

Pri Kovacu,4,55,$

Gostilna Cubr,4.5,26,$$ - $$$

Taman Organic,4.5,86,$$ - $$$

Tandoori,4.0,65,$

Pizzeria Parma Ljubljana,4.0,63,$

Skriti Kot,4.5,43,$$ - $$$

Sisters Kurtos,5.0,18,$

Argentino,3.5,166,$$$$

SARAJEVSKI GRILL PAVZA,4.5,29,$

"Utrip - bar, bistro, kavarna",4.5,21,$$ - $$$

ZMAUC,4.5,39,$$ - $$$

Loving Hut,4.5,25,$

Okrepcevalnica Ribca,3.5,301,$

Barbarella Juicebar Vegan & Vegetarian,4.5,22,$$ - $$$

Novi Shanghai,4.5,39,$$ - $$$

Gostilnica in pivnica SISKA,4.5,32,$$ - $$$

Piazza Ristorante Pizzeria,4.0,117,$$ - $$$

Maxim,4.5,33,$$$$

Repete Jazz & Okrepcila,4.0,55,$$ - $$$

Holidays' Pub,4.0,50,$$ - $$$

Cafe Antico,3.5,108,$

Cojzla,5.0,19,$$ - $$$

Patrick's Irish Pub,4.0,72,$

Penzion Kmecki hram,4.5,34,$$ - $$$

Dubocica,4.0,57,$$ - $$$

Chuty's - Heart Of Asia,4.0,70,$$ - $$$

Kult316,5.0,16,$$ - $$$

Operna Klet,4.0,49,$$ - $$$

Forum,4.0,63,$$ - $$$

Gostilna Florjanckov Hram,4.5,29,$$ - $$$

Winners Lounge,4.0,46,$$ - $$$

MoySushi,3.5,136,$$ - $$$

Tia's Pizza,4.5,28,$

Soba 102,4,192,$$ - $$$

Taverna Tatjana,3.5,153,$$ - $$$

Gostilna Tavcar,4.5,26,$$ - $$$

Pizzeria Laterna,4.5,34,$

Roza Slon,4,37,$

Solist,4,33,$$ - $$$

Grand Cafe Ljubljana,4,39,$$ - $$$

Krpan,4,45,$$ - $$$

Gostilna Gorjanc,4,38,$$ - $$$

Gostilna Pri Vodniku,4,50,$$ - $$$

Plato,4,44,$$ - $$$

"Pizzeria/Picerija, Spagetarija, Kavarna Oliva",4.5,19,$$ - $$$

Park Zibert,4,30,$$ - $$$

Menagerie,5,11,$$ - $$$

Sax Pub,4,36,$

Vegetarian restaurant Radha Govinda,4.5,35,$$ - $$$

Gostilna Jelen,4,67,$$ - $$$

Flo Bistro,4.5,16,null

Hitra Zlica,5,16,$$ - $$$

Restavracija Fresco,4,56,$

Gostilna Portal,4,63,$$ - $$$

Premier Pub,4,46,$$ - $$$

Ogam,4.5,19,$$ - $$$

Intercontinental - hotel restaurant,4,21,$$$$

Gostilna Stari Tisler,4,59,$$ - $$$

Kavarna Macek,4,62,$$ - $$$

Ajda,4.5,13,$

Han,4,34,$$ - $$$

Okrepcevalnica Zoki,4.5,20,$

Cielito Lindo,5,13,$

Soncek,4.5,15,$

Bio restaurant Trnulja,4,10,$$ - $$$

Magda,4,22,$$ - $$$

Central Station,3.5,150,$

Dinner In The Dark,5,62,$$$$

Favola Spageterija & Pizzerija,4,36,$$ - $$$

Picerija da Mattia,4,34,$$ - $$$

Spirit Bar & Kitchen,4.5,22,$$ - $$$

Ns Plac,5,9,null

Rostilj,4,27,$

Gostilnica Orle,4.5,15,$$ - $$$

Kratochwill,3.5,104,$$ - $$$

Gostilna Dobnikar,4.5,12,$$ - $$$

Origano,4,24,$$ - $$$

Gostilnica Vinka,4,33,$$ - $$$

Zebra Patisseries,5,8,$$ - $$$

Trappa Pizzeria & Bar,4.5,15,$$ - $$$

Guliver,4.5,10,$$ - $$$

Balkan Express,4.5,15,$$ - $$$

Pub Plecnik,5,6,$$ - $$$

Korean Bistro Suwon,4,42,$$ - $$$

Peruzza,5,8,$$ - $$$

Ljubljana,4.5,14,null

Cesarsko mesto,4,45,$$ - $$$

Singer Atelier Cafe,4.5,11,null

Restaurant Angel,4,26,$$ - $$$

Restaurant Union,4,16,$$ - $$$

Gas Station,4.5,15,$

Promenada,3.5,219,$$ - $$$

The Prince of Orange,4.5,28,$$ - $$$

Hallo Leskovac,4,28,$

Restavracija Sole,4.5,18,$

Allegria,4,240,$$ - $$$

Safran,4.5,11,$$ - $$$

Kava Bar Koticek,5,7,$

Nostalgija,4.5,9,$

Gostilnica Marjeta,5,9,$

Juzna Na Plac,4.5,8,$

Gostilna Kosir,4,31,$$ - $$$

Gostilna Nona,4,23,$$ - $$$

Gostilnica in pivnica Vic,5,6,$$ - $$$

Dodo Pizza Slovenija,5,6,null

Ramen by Maru,4,16,$$ - $$$

Restavracija Element,4,25,$$ - $$$

Pars,4.5,11,$$ - $$$

Izlozba,4.5,10,$$ - $$$

Livada,4,53,$$ - $$$

Fast Food BUREK 1,4,13,$

Gig,4,23,$

Chang,4.5,7,$$ - $$$

Separe,4,21,$$$$

Okrepcevalnica Kongo,4,11,$$ - $$$

Liquid Bar,4.5,11,$$ - $$$

Gostilna Rozna Hisa,4.5,11,$$ - $$$

Kitajski Vrt,4,40,$$ - $$$

Lacna koza,4.5,12,$$ - $$$

Lavine - Ice cream rolls,4.5,8,$$ - $$$

Gaudi Ayurvedic & Vegan,4.5,23,$$ - $$$

Food Porn,5,5,null

Brunch,3.5,36,$$ - $$$

Franky's Bar,4,13,null

Art Bread,5,7,null

Foodtruck Stara Sola,5,5,$

Soba 102,4,192,$$ - $$$

eVino Wine bar,4,29,$$ - $$$

Gostilna Raubar,4,12,$$ - $$$

Hombre,3.5,36,$$ - $$$

Flancat Ljubljana,4.5,8,$

Gostilna Pecaric,4,12,null

LP Bar,4.5,7,null

Bistro Ftp,4.5,10,$$ - $$$

Gostilna Kersic,3.5,23,$

Atrium,4,13,$$ - $$$

Restavracija Veliki Hong Kong,4,34,$$ - $$$

Dobrote Vzhoda,4,10,null

Pizzeria Bullizza,4,9,$

Clementina Caffe Bar,4,12,$

Restavracija Vozi Misko,4.5,8,$

Mr and Mrs Green,4,18,$$ - $$$

Zmoht,5,5,null

Kavarna in bistro MihaChef,5,6,$$ - $$$

Lepa Zoga,4,20,$

Ice Cream Bar Grefino,4.5,6,null

Slascicarna Rasica,5,6,null

Okrepcevalnica Jagoda Kebab,4.5,12,$

Gastro House 151,4,10,$$ - $$$

The ICE CREAM Ljubljana,5,4,$

Simit Sarayi Ljubljana,4.5,8,$$ - $$$

Bar Bistro Platana,4,11,$

Chuty's - BTC City Ljubljana,5,4,null

Refreshment Riviera,4.5,5,null

Konoba - Rival trade,4,10,null

Han,3.5,85,$$ - $$$

Dobra Vila Pizzeria,4,13,$

Soba 102,4,192,$$ - $$$

Eksperiment Restaurant & Bar,3.5,63,$$ - $$$

Krakovc,4,24,$

Subway Bezigrad,4,11,$

Horse's Pub,4,11,$$ - $$$

Bistro Ambient,4,11,$$ - $$$

Minicafegolf,4.5,15,$$ - $$$

Restavracija B2,4.5,6,null

Pizzeria Tunnel,4,31,$

d'Burger Place,4,8,$$ - $$$

Yildiz han,4,15,$$ - $$$

Gostilna Za Pumpo,3.5,20,$$ - $$$

La Favela,4,11,$$ - $$$

Radha Govinda,5,4,null

Gostilna Roznik,4.5,7,$

Zvezda,4,7,null

Kavarna Zofa - Cafe Zofa,5,3,$

